Sr.No,State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,TotalCrimes,K&A_Ratio,DD_Ratio,AoW_Ratio,AoM_Ratio,DV_Ratio,WT_Ratio,Rape_Ratio
24,TRIPURA,2001,102,35,16,58,0,227,0,438,1.0,1.0,1.0,0.0,1.0,0.0,1.0
25,UTTAR PRADESH,2001,1958,2879,2211,2870,2575,7365,0,19858,1.0,1.0,1.0,1.0,1.0,0.0,1.0
26,UTTARAKHAND,2001,74,126,56,103,84,301,0,744,1.0,1.0,1.0,1.0,1.0,0.0,1.0
27,WEST BENGAL,2001,709,695,265,954,48,3859,3,6533,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,A & N ISLANDS,2001,3,2,0,19,1,9,0,34,1.0,0.0,1.0,1.0,1.0,0.0,1.0
29,CHANDIGARH,2001,18,50,3,24,15,36,0,146,1.0,1.0,1.0,1.0,1.0,0.0,1.0
30,D & N HAVELI,2001,6,2,0,7,0,4,0,19,1.0,0.0,1.0,0.0,1.0,0.0,1.0
31,DAMAN & DIU,2001,0,3,0,0,0,4,0,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,,,,,,,
33,PUDUCHERRY,2001,9,3,1,35,27,3,0,78,1.0,1.0,1.0,1.0,1.0,0.0,1.0
34,ANDHRA PRADESH,2002,1002,854,449,3799,2024,7018,0,15146,1.0,1.0,1.0,1.0,1.0,0.0,1.0
35,ARUNACHAL PRADESH,2002,38,38,0,68,2,13,0,159,1.0,0.0,1.0,1.0,1.0,0.0,1.0
36,ASSAM,2002,970,1276,70,984,7,1694,0,5001,1.0,1.0,1.0,1.0,1.0,0.0,1.0
37,BIHAR,2002,1040,744,927,621,6,1577,38,4953,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,CHHATTISGARH,2002,992,154,85,1483,147,653,0,3514,1.0,1.0,1.0,1.0,1.0,0.0,1.0
39,GOA,2002,12,5,2,18,6,8,0,51,1.0,1.0,1.0,1.0,1.0,0.0,1.0
40,GUJARAT,2002,267,807,62,750,104,3321,0,5311,1.0,1.0,1.0,1.0,1.0,0.0,1.0
41,HARYANA,2002,361,290,256,454,1424,1565,0,4350,1.0,1.0,1.0,1.0,1.0,0.0,1.0
42,HIMACHAL PRADESH,2002,137,116,6,326,12,234,0,831,1.0,1.0,1.0,1.0,1.0,0.0,1.0
43,JAMMU & KASHMIR,2002,192,596,18,785,368,54,0,2013,1.0,1.0,1.0,1.0,1.0,0.0,1.0
